x,y,z,x_quat,y_quat,z_quat,w_quat
89664.535560,43124.316885,6.381262,0.000000,0.000000,-0.868327,0.495991
89666.319646,43123.898891,6.381268,0.000000,0.000000,-0.868327,0.495991
89666.639618,43124.236537,6.381289,0.000000,0.000000,-0.868327,0.495991
89666.910362,43124.318343,6.381249,0.000000,0.000000,-0.868327,0.495991
89667.087891,43124.436061,6.381232,0.000000,0.000000,-0.868327,0.495991
89667.117835,43124.477880,6.381231,0.000000,0.000000,-0.868327,0.495991
89667.100643,43124.569603,6.381233,0.000000,0.000000,-0.868327,0.495991
89667.153611,43124.606777,6.381198,0.000000,0.000000,-0.868327,0.495991
89667.055746,43124.604221,6.381131,0.000000,0.000000,-0.868327,0.495991
89667.028291,43124.716950,6.381178,0.000000,0.000000,-0.868327,0.495991
89667.064349,43124.643802,6.381115,0.000000,0.000000,-0.868327,0.495991
89667.072361,43124.628765,6.381086,0.000000,0.000000,-0.868327,0.495991
89667.133706,43124.593736,6.381029,0.000000,0.000000,-0.868327,0.495991
89667.162887,43124.614544,6.381004,0.000000,0.000000,-0.868327,0.495991
89667.089530,43124.593664,6.380956,0.000000,0.000000,-0.868327,0.495991
89667.161533,43124.544593,6.380952,0.000000,0.000000,-0.868327,0.495991
89665.768641,43124.194368,6.380716,0.000000,0.000000,-0.868327,0.495991
89665.256792,43123.916204,6.380989,0.000000,0.000000,-0.868327,0.495991
89664.024452,43123.242370,6.380383,0.000000,0.000000,-0.965771,0.259397
89661.964729,43121.953954,6.367629,0.000000,0.000000,-0.958761,0.284215
89659.245080,43119.760356,6.355551,0.000000,0.000000,-0.970512,0.241052
89655.568680,43117.567494,6.319246,0.000000,0.000000,0.995388,0.095934
89650.287841,43117.595032,6.309684,0.000000,0.000000,0.986880,0.161457
89644.900592,43119.991051,6.310540,0.000000,0.000000,0.982839,0.184466
89639.000372,43123.370147,6.290755,0.000000,0.000000,0.962200,0.272343
89632.684844,43127.188064,6.234192,0.000000,0.000000,0.880755,0.473572
89628.166078,43133.411819,6.228332,0.000000,0.000000,0.887679,0.460463
89624.267117,43141.021659,6.232949,0.000000,0.000000,0.886023,0.463642
89618.137449,43147.764005,6.231516,0.000000,0.000000,0.881734,0.471747
89613.448330,43155.899311,6.237030,0.000000,0.000000,0.798825,0.601564
89614.790253,43165.102931,6.294280,0.000000,0.000000,0.332024,0.943271
89623.128608,43166.775938,6.338329,0.000000,0.000000,-0.372298,0.928113
89627.363237,43158.509527,6.364018,0.000000,0.000000,-0.535709,0.844403
89630.523333,43149.775132,6.335666,0.000000,0.000000,-0.477121,0.878837
89637.180052,43142.647396,6.317045,0.000000,0.000000,-0.352614,0.935769
89644.273481,43136.558954,6.310981,0.000000,0.000000,0.343524,0.939144
89649.770111,43142.486671,6.336239,0.000000,0.000000,0.699456,0.714676
89644.387575,43149.822955,6.365321,0.000000,0.000000,0.882001,0.471247
89639.463799,43158.011779,6.371228,0.000000,0.000000,0.899436,0.437053
89635.138727,43166.122677,6.584809,0.000000,0.000000,0.911257,0.411839
89627.435348,43171.481726,6.646315,0.000000,0.000000,0.910751,0.412956
